"scenario_label","scenario_family","data_scenario_id","rep_id","covariate","mean_lag1","between_region_var","within_region_var","between_within_ratio","cor_xbar_phi_ident","abs_cor_xbar_phi_ident","cor_vec_x_log_lambda","abs_cor_vec_x_log_lambda","signal_sd_beta_x"
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",7,"x2",NA,1.12375000000002,0,NA,0.315351574552877,0.315351574552877,-1.13246501188915e-17,1.13246501188915e-17,0.400000000000004
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",8,"x1",0.695079454615249,0.0621003128607323,0.953220818980263,0.0651478772013876,-0.0234298886048113,0.0234298886048113,0.0227903254434365,0.0227903254434365,0.5
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",8,"x2",NA,1.12374999999999,0,NA,0.578980366231521,0.578980366231521,-5.23213012708744e-16,5.23213012708744e-16,0.399999999999995
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",9,"x1",0.65540945913053,0.0373991062168987,0.97539923123062,0.0383423576925664,0.270466038014478,0.270466038014478,0.117067920449387,0.117067920449387,0.5
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",9,"x2",NA,1.12374999999999,0,NA,-0.39828437994353,0.39828437994353,-1.33050938424524e-16,1.33050938424524e-16,0.399999999999995
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",10,"x1",0.695350645917464,0.0819255828323155,0.935420352114644,0.0875815697692611,-0.0835765287120631,0.0835765287120631,-0.0186327649795581,0.0186327649795581,0.5
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",10,"x2",NA,1.12375000000002,0,NA,-0.208061887498249,0.208061887498249,4.65140756435683e-17,4.65140756435683e-17,0.400000000000006
"S4D short time","S4D","S4D_SHORT_TIME_T30",1,"x1",0.624180809048466,0.108467738037041,0.930910892226476,0.116517852506395,-0.253724920755929,0.253724920755929,-0.176260089120131,0.176260089120131,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",1,"x2",NA,1.12083333333334,0,NA,0.294934415447725,0.294934415447725,1.28217035400121e-15,1.28217035400121e-15,0.4
"S4D short time","S4D","S4D_SHORT_TIME_T30",2,"x1",0.595407270731452,0.276357800997752,0.776529225136166,0.355888474061349,-0.497035519462946,0.497035519462946,-0.0733787418906625,0.0733787418906625,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",2,"x2",NA,1.12083333333333,0,NA,-0.121968026231776,0.121968026231776,3.30372073320295e-16,3.30372073320295e-16,0.399999999999999
"S4D short time","S4D","S4D_SHORT_TIME_T30",3,"x1",0.627094084895133,0.187111275844099,0.8585949953924,0.217927284515074,0.67962200242648,0.67962200242648,-0.227888466487939,0.227888466487939,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",3,"x2",NA,1.12083333333334,0,NA,0.416141872213281,0.416141872213281,-1.11490967066496e-15,1.11490967066496e-15,0.4
"S4D short time","S4D","S4D_SHORT_TIME_T30",4,"x1",0.536860379486861,0.164637702452023,0.879260350235688,0.187245680312881,-0.0539596762607412,0.0539596762607412,0.0689400647122711,0.0689400647122711,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",4,"x2",NA,1.12083333333333,0,NA,0.148340586361813,0.148340586361813,1.97607485296999e-16,1.97607485296999e-16,0.4
"S4D short time","S4D","S4D_SHORT_TIME_T30",5,"x1",0.587310645799957,0.0962050741697369,0.942186904978019,0.102108269241952,-0.361005592262928,0.361005592262928,-0.0224605331489458,0.0224605331489458,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",5,"x2",NA,1.12083333333333,0,NA,0.359172233921937,0.359172233921937,-1.71162515710088e-16,1.71162515710088e-16,0.4
"S4D short time","S4D","S4D_SHORT_TIME_T30",6,"x1",0.650801997192723,0.293072111735245,0.761159743998242,0.385033646414072,0.793700161029476,0.793700161029476,-0.1086476831303,0.1086476831303,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",6,"x2",NA,1.12083333333333,0,NA,-0.0592142399508758,0.0592142399508758,1.82520115270019e-16,1.82520115270019e-16,0.399999999999999
"S4D short time","S4D","S4D_SHORT_TIME_T30",7,"x1",0.533765057229874,0.151455213684595,0.891382178987345,0.169910524637879,0.170409766666371,0.170409766666371,0.099574243001103,0.099574243001103,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",7,"x2",NA,1.12083333333333,0,NA,-0.387950494907315,0.387950494907315,7.53368067189108e-16,7.53368067189108e-16,0.4
"S4D short time","S4D","S4D_SHORT_TIME_T30",8,"x1",0.628232524163722,0.142601965634077,0.899523096734948,0.158530632678236,-0.192887501466424,0.192887501466424,-0.0332485409354526,0.0332485409354526,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",8,"x2",NA,1.12083333333334,0,NA,0.149348941088726,0.149348941088726,1.1750724088464e-15,1.1750724088464e-15,0.4
"S4D short time","S4D","S4D_SHORT_TIME_T30",9,"x1",0.654421704250709,0.115672444512997,0.92428587477732,0.125147908963626,-0.419430404347944,0.419430404347944,0.037706216761857,0.037706216761857,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",9,"x2",NA,1.12083333333333,0,NA,-0.39715245201329,0.39715245201329,-3.2178414197707e-16,3.2178414197707e-16,0.399999999999997
"S4D short time","S4D","S4D_SHORT_TIME_T30",10,"x1",0.586016456495636,0.129988396686241,0.911121780824912,0.142668520742147,0.160604034760644,0.160604034760644,-0.0442499943837969,0.0442499943837969,0.5
"S4D short time","S4D","S4D_SHORT_TIME_T30",10,"x2",NA,1.12083333333334,0,NA,0.0988818399924201,0.0988818399924201,-8.16057693265298e-16,8.16057693265298e-16,0.4
