"scenario","rep","parameter","truth","post_mean","bias","rmse_component","q025","q975","cover"
"S2","rep02","phi_vector",NA,NA,-3.00685402502647e-16,0.000435393403596148,NA,NA,1
"S2","rep02","log_lambda_vector",NA,NA,-2.5725949148736e-17,0.00205987695188497,NA,NA,0.935555555555556
"S2","rep02","log_kappa_vector",NA,NA,0.00430631976587912,0.0104082962337306,NA,NA,0.94
"S2","rep03","beta0",-1.40397869793906,-1.40096390292822,0.00301479501084212,9.08898895739854e-06,-1.41990499751435,-1.38236220224045,1
"S2","rep03","beta1",0.5,0.499801743648804,-0.000198256351196469,3.93055807897375e-08,0.479349348290418,0.519535200529623,1
"S2","rep03","beta2",-0.4,-0.409801265100635,-0.0098012651006345,9.60647975729159e-05,-0.42876654041933,-0.389553242227925,1
"S2","rep03","r_mean",15,14.9084867746918,-0.091513225308228,0.00837467040631451,13.409222250619,16.5430054152925,1
"S2","rep03","phi_vector",NA,NA,3.02227378925737e-16,0.000857424352372674,NA,NA,0.888888888888889
"S2","rep03","log_lambda_vector",NA,NA,-4.66293670342566e-17,0.00151699111171521,NA,NA,0.983333333333333
"S2","rep03","log_kappa_vector",NA,NA,-0.00722714334936382,0.00854187908158108,NA,NA,0.962222222222222
"S2","rep04","beta0",-1.59011227919885,-1.59464647062796,-0.00453419142911038,2.0558891915818e-05,-1.6130646455844,-1.576252894356,1
"S2","rep04","beta1",0.5,0.505594215920471,0.00559421592047094,3.12952517648505e-05,0.485805563156073,0.525793579989775,1
"S2","rep04","beta2",-0.4,-0.412178442536471,-0.0121784425364709,0.000148314462614125,-0.431901098108559,-0.39216562639668,1
"S2","rep04","r_mean",15,15.4485502092706,0.448550209270563,0.201197290236666,13.7285451305614,17.3063009488297,1
"S2","rep04","phi_vector",NA,NA,1.84266182559314e-16,0.00079413921606016,NA,NA,0.888888888888889
"S2","rep04","log_lambda_vector",NA,NA,7.73301176179883e-18,0.00221257051622709,NA,NA,0.947777777777778
"S2","rep04","log_kappa_vector",NA,NA,0.00779876792515308,0.0122958437379313,NA,NA,0.944444444444444
"S2","rep05","beta0",-1.53963015075169,-1.52829122626913,0.011338924482559,0.000128571208421176,-1.54635092924202,-1.50950944150037,1
"S2","rep05","beta1",0.5,0.48886659626629,-0.0111334037337101,0.000123952678697791,0.469319112455445,0.508230499471226,1
"S2","rep05","beta2",-0.4,-0.398442285864398,0.00155771413560218,2.42647332825486e-06,-0.417192699024335,-0.379874031795819,1
"S2","rep05","r_mean",15,15.525636103308,0.525636103308051,0.276293313100872,13.9303013530407,17.3410617426911,1
"S2","rep05","phi_vector",NA,NA,1.21816137424149e-16,0.000603827452562211,NA,NA,1
"S2","rep05","log_lambda_vector",NA,NA,-8.3825693300257e-18,0.00222769705130517,NA,NA,0.927777777777778
"S2","rep05","log_kappa_vector",NA,NA,-0.00948055148922225,0.00848148412239373,NA,NA,0.962222222222222
"S2","rep06","beta0",-1.44814607902023,-1.4594072884688,-0.0112612094485725,0.000126814838244617,-1.47732096670764,-1.44103417355931,1
