"scenario","rep","n_ppc_draws","observed_mean","yrep_mean","yrep_mean_diff","observed_zero_prop","yrep_zero_prop","yrep_zero_diff","observed_total","yrep_total","yrep_total_ratio","observed_max","yrep_max","ppc_cell_95_coverage","ppp_mean","ppp_zero","ppp_total","ppp_max","has_kappa_samples","drawwise_cor_logkappa_eta_mean","drawwise_abs_cor_logkappa_eta_mean","drawwise_slope_logkappa_eta_mean","postmean_cor_logkappa_eta","mu_cap","mu_cap_count","invalid_mu_count"
"S3","rep02",1000,190.828888888889,191.471633333333,0.642744444444446,0,0,0,171746,172324.47,1.00336817160225,1291,1392.875,0.964444444444444,0.806,0,0.806,0.636,TRUE,0.0239870277977087,0.0343341962521123,0.00898009761169394,0.0300672948852688,1e+08,0,0
"S3","rep03",1000,230.316666666667,231.809047777778,1.49238111111111,0,1.11111111111111e-06,1.11111111111111e-06,207285,208628.143,1.00647969221121,1919,1799.995,0.952222222222222,0.692,0,0.692,0.548,TRUE,-0.00649328857658596,0.0270127580209995,-0.00235846593929168,-0.00280458555376552,1e+08,0,0
"S3","rep04",1000,160.464444444444,160.695784444444,0.231340000000017,0,3.33333333333334e-06,3.33333333333334e-06,144418,144626.206,1.00144169009403,2299,1671.618,0.963333333333333,0.928,0,0.928,0.154,TRUE,-0.0125549321646803,0.0294594003220005,-0.00470650536712439,-0.00952848318296786,1e+08,0,0
"S3","rep05",1000,281.008888888889,279.311727777778,-1.69716111111109,0,0,0,252908,251380.555,0.993960471792114,3666,3487.506,0.962222222222222,0.728,0,0.728,0.692,TRUE,-0.011049698929495,0.0271453604282211,-0.00351249412306331,-0.00830167987873622,1e+08,0,0
"S3","rep06",1000,213.898888888889,214.081672222222,0.182783333333333,0,1.11111111111111e-06,1.11111111111111e-06,192509,192673.505,1.00085453147645,1987,1836.019,0.966666666666667,0.95,0,0.95,0.628,TRUE,-0.00298162897581532,0.0269633816471702,-0.000976590872646134,0.000908409187893001,1e+08,0,0
"S3","rep07",1000,205.13,206.26318,1.13318000000001,0,1.33333333333333e-05,1.33333333333333e-05,184617,185636.862,1.00552420416321,2911,3811.268,0.965555555555556,0.776,0,0.776,0.416,TRUE,-0.00370823712905257,0.0271734031449808,-0.00112475189849245,-0.000204766592101512,1e+08,0,0
"S3","rep08",1000,174.394444444444,174.965885555556,0.571441111111113,0,0,0,156955,157469.297,1.00327671625625,1384,1872.724,0.968888888888889,0.89,0,0.89,0.128,TRUE,0.00133056600110909,0.0280793238635306,0.000702506559746991,0.00574494306332476,1e+08,0,0
"S3","rep09",1000,178.144444444444,178.311875555556,0.167431111111114,0,6.66666666666666e-06,6.66666666666666e-06,160330,160480.688,1.00093986153558,1165,1177.545,0.968888888888889,0.96,0,0.96,0.9,TRUE,-0.00216091525937839,0.0270408468398,-0.000552779846618739,0.00116993871172773,1e+08,0,0
"S3","rep10",1000,188.225555555556,188.269524444444,0.0439688888888838,0,0,0,169403,169442.572,1.00023359680761,1891,2481.308,0.964444444444444,0.98,0,0.98,0.328,TRUE,0.00883847121082541,0.0270299850655007,0.00325246938055814,0.0133756331691801,1e+08,0,0
"S3","rep11",1000,202.09,201.745402222222,-0.344597777777778,0,0,0,181881,181570.862,0.998294830136188,1403,1431.561,0.957777777777778,0.906,0,0.906,0.928,TRUE,-0.00465247086257299,0.0264626214047781,-0.00153876403308737,-0.000963930042885399,1e+08,0,0
