"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
43,-8.14054545745759,0.463558799745834,-0.40584501339112,6.01189537593824e-10,1.0399900939433,1598969.19070202,6.14539283658486e-16,0.0392111686892056,0,0,0,-8.14054545745759,-8.10133428876839,-8.14054545745759,1.0399900939433,1598969.19070201,5.20232005622271e-16
44,-8.09576833586084,0.46381872961907,-0.397284350848754,7.81185986384586e-11,1.02494274500236,749805.872965879,2.36816739058238e-16,0.0246367495294719,0.0277777777777778,0,0,-8.09576833586084,-8.07113158633137,-8.09576833586084,1.02494274500236,749805.872965877,1.57682509025234e-16
45,-8.12938166133729,0.485098872997504,-0.350312363812616,1.17210989967517e-10,1.03066907159029,1234461.44603854,-3.39065195673369e-16,0.0302081598401266,0,0,0,-8.12938166133729,-8.09917350149716,-8.12938166133729,1.03066907159029,1234461.44603855,2.69429540406602e-16
46,-7.71784532861956,0.525080676646604,-0.332717527674291,3.48204305111334e-10,1.07760471925726,119914.76233322,-1.05594545453237e-16,0.0747406510483085,0,0,0,-7.71784532861956,-7.64310467757125,-7.71784532861956,1.07760471925726,119914.76233322,1.64374686701447e-16
47,-7.96930781872891,0.50556898494911,-0.327128780274236,1.30531079358193e-10,1.04000593312209,374477.581377978,4.07359331452047e-16,0.0392264125683768,0,0,0,-7.96930781872891,-7.93008140616053,-7.96930781872891,1.04000593312209,374477.581377977,2.01744485315045e-16
48,-8.3175570298034,0.509772328876017,-0.346801589648438,1.89045138593047e-10,1.03028349164617,420450.490412634,-2.3462713253745e-16,0.0298304628765427,0,0,0,-8.3175570298034,-8.28772656692686,-8.3175570298034,1.03028349164617,420450.490412634,5.42496217701169e-17
49,-7.47198477718792,0.551418583572214,-0.428717580429765,2.82404697898401e-09,1.01532472384625,7747.75257359434,1.33658516353484e-16,0.0152083366136566,0,0,0,-7.47198477718792,-7.45677644057427,-7.47198477718792,1.01532472384625,7747.75257359433,1.0394463068053e-16
50,-7.61387848823035,0.523977268036068,-0.464002170955436,5.29611421950264e-12,1.02961497440649,46702.3353387827,9.17784367023463e-17,0.0291849187123706,0.0166666666666667,0,0,-7.61387848823035,-7.58469356951797,-7.61387848823035,1.02961497440649,46702.3353387827,6.6436054188854e-17
51,-7.73533614791843,0.479264207156076,-0.347573697481592,1.16648124493391e-10,1.0505555904835,124729.150051865,1.37112543541207e-16,0.0493191365693529,0,0,0,-7.73533614791843,-7.68601701134907,-7.73533614791843,1.0505555904835,124729.150051865,1.32929932493574e-16
52,-7.87779427221602,0.497569156753626,-0.401547466750227,1.04046272142301e-09,1.05673297721894,74595.3086594357,4.08932147403599e-17,0.0551808445209959,0,0,0,-7.87779427221602,-7.82261342769502,-7.87779427221602,1.05673297721894,74595.3086594357,6.69449064084738e-17
53,-7.34629115349656,0.477325656835616,-0.394294609698849,3.38460741321349e-10,1.05409453510665,10098.1578312772,3.62796212824732e-16,0.0526818664523244,0,0,0,-7.34629115349656,-7.29360928704423,-7.34629115349656,1.05409453510665,10098.1578312771,1.8078131584313e-16
54,-8.07206744126837,0.506397261662356,-0.383615072243364,3.6790539446371e-10,1.01612406066202,1434567.51337598,3.71153725037882e-16,0.0159954484887137,0,0,0,-8.07206744126837,-8.05607199277966,-8.07206744126837,1.01612406066202,1434567.51337597,6.71801541865216e-16
55,-7.25056248485559,0.504390471977322,-0.401788674424979,3.69146650795813e-12,1.06028927894761,813.333928275993,1.30451205393456e-16,0.0585410920388568,0.0133333333333333,0,0,-7.25056248485559,-7.19202139281674,-7.25056248485559,1.06028927894761,813.333928275992,1.53981765609817e-16
56,-7.93136725232549,0.476051322042561,-0.390026564665768,1.63177536157865e-10,1.05208174940882,703418.818212654,-5.10024121701412e-16,0.0507706619774096,0,0,0,-7.93136725232549,-7.88059659034808,-7.93136725232549,1.05208174940882,703418.818212657,1.66656811807621e-16
57,-7.91383795816019,0.485520073259336,-0.39985456337422,1.2169549035093e-10,1.04187685181192,621942.592217443,6.00754014436057e-17,0.0410237511175931,0,0,0,-7.91383795816019,-7.8728142070426,-7.91383795816019,1.04187685181192,621942.592217443,1.0224171046828e-16
58,-8.04107551202459,0.500124991299672,-0.43417344936472,2.72261777605988e-11,1.04500775634372,1253812.50817082,6.22002449546244e-16,0.0440242403679174,0.0233333333333333,0,0,-8.04107551202459,-7.99705127165667,-8.04107551202459,1.04500775634372,1253812.50817081,6.46612393258768e-16
59,-8.04000570812582,0.470971349055437,-0.443433005911792,4.80970891467341e-10,1.03958858569133,4888667.64938871,-5.29514703689276e-16,0.0388245665566447,0,0,0,-8.04000570812582,-8.00118114156917,-8.04000570812582,1.03958858569133,4888667.64938874,6.67170793919622e-16
60,-7.7131501000849,0.549213152610206,-0.464936043952909,4.120684491658e-11,1.05892225973996,209041.289009017,-5.26623497895981e-17,0.0572505421899501,0.0233333333333333,0,0,-7.7131501000849,-7.65589955789495,-7.7131501000849,1.05892225973996,209041.289009017,7.52484494468162e-17
