"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
85,-7.94307082030879,0.548434397744027,-0.381549708257135,1.1563847291432e-10,1.011574304506,337800.049500466,4.49640324973188e-17,0.011507834609123,0,0,0,-7.94307082030879,-7.93156298569967,-7.94307082030879,1.011574304506,337800.049500466,1.22459912580789e-16
86,-7.770852013848,0.514255359141888,-0.452467334470648,2.00773818011764e-10,1.04921210776817,265499.214630213,4.50133757428577e-16,0.0480393956839465,0,0,0,-7.770852013848,-7.72281261816406,-7.770852013848,1.04921210776817,265499.214630212,4.28484408448387e-16
87,-7.42575552992058,0.453124702261005,-0.341881344812742,4.4347689376893e-11,1.04717515495821,14510.7462294753,1.33034015902132e-16,0.0460961884850752,0.0122222222222222,0,0,-7.42575552992058,-7.3796593414355,-7.42575552992058,1.04717515495821,14510.7462294753,6.58655229123105e-17
88,-7.77081604250759,0.479815091733301,-0.376699932443335,5.59727985466588e-10,1.02250026778524,385560.850544404,-1.98606563294056e-17,0.0222508672971307,0,0,0,-7.77081604250759,-7.74856517521046,-7.77081604250759,1.02250026778524,385560.850544404,6.52564422251898e-17
89,-7.77222101763815,0.441623743995206,-0.372998614608664,2.8462424312486e-11,1.0328784340379,539563.126012052,-1.00018373213236e-16,0.0323494689701265,0.0244444444444444,0,0,-7.77222101763815,-7.73987154866802,-7.77222101763815,1.0328784340379,539563.126012052,7.16498619694287e-17
90,-7.80694233340373,0.493965368998552,-0.414993325006148,1.8485752771165e-11,1.05645410072374,106768.773329595,4.82869916890789e-17,0.0549180915087059,0.0222222222222222,0,0,-7.80694233340373,-7.75202424189502,-7.80694233340373,1.05645410072374,106768.773329595,1.0538637863612e-16
91,-8.03575457980903,0.577986408971366,-0.395251128421983,2.92956424665751e-11,1.06801271566118,40646.1460375869,-6.62433071359677e-17,0.0657995878698139,0.0222222222222222,0,0,-8.03575457980903,-7.96995499193922,-8.03575457980903,1.06801271566118,40646.146037587,8.92226107810738e-17
92,-7.90566583190427,0.48716633680428,-0.403810190926568,3.19696982454694e-10,1.04938289933405,588255.177060472,6.78384817456548e-16,0.0482017058374448,0,0,0,-7.90566583190427,-7.85746412606683,-7.90566583190427,1.04938289933405,588255.177060469,1.69787023946494e-16
93,-7.78565024541304,0.505134183119805,-0.366810931383329,2.02113900818688e-10,1.0375801424865,536504.134418493,-1.04360964314765e-16,0.0368910803648405,0,0,0,-7.78565024541304,-7.7487591650482,-7.78565024541304,1.0375801424865,536504.134418494,9.34900305319767e-17
94,-7.3556976067654,0.480892701415662,-0.442925771949655,2.68471288143569e-13,0.99626963418346,3082.91944088528,2.44464942116767e-16,-0.00373734754262074,0.00222222222222222,0,0,-7.3556976067654,-7.35943495430802,-7.3556976067654,0.99626963418346,3082.91944088527,1.39117112891224e-16
95,-7.83543563634228,0.50783629859644,-0.341755959215031,5.16371214662149e-11,1.07409446946393,66595.7519835653,-1.30805859970767e-16,0.0714779432264782,0.0166666666666667,0,0,-7.83543563634228,-7.7639576931158,-7.83543563634228,1.07409446946393,66595.7519835654,1.44390672258194e-16
96,-7.79414362018972,0.466840995539261,-0.416632256205985,9.45768575554933e-10,1.04652119870345,156419.986245336,-2.3940725944903e-16,0.0454715129400487,0,0,0,-7.79414362018972,-7.74867210724967,-7.79414362018972,1.04652119870345,156419.986245337,1.92114842552845e-16
