"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.53963015075169,-1.52859436821436,0.011035782537328,0.0146655889177344,1,264.492645975814,0.668692552089454,NA,"S2","rep05","old_kappa_conditioned"
"beta1",0.5,0.48729443452587,-0.0127055654741302,0.0163947778928867,1,41.8672754072231,0.105849200977967,NA,"S2","rep05","old_kappa_conditioned"
"beta2",-0.4,-0.397785542826105,0.00221445717389479,0.0102001717787013,1,58.0970695833342,0.146881504343039,NA,"S2","rep05","old_kappa_conditioned"
"r_mean",15,15.4855095340741,0.485509534074131,0.975077936024455,1,1052.19733294324,2.66017422628784,NA,"S2","rep05","old_kappa_conditioned"
"beta0",-1.44814607902023,-1.45935406014795,-0.0112079811277217,0.0145585310240749,1,387.991269139539,0.98017196124574,NA,"S2","rep06","old_kappa_conditioned"
"beta1",0.5,0.507311954334255,0.00731195433425536,0.0129719388602374,1,48.4426959429276,0.122379486517089,NA,"S2","rep06","old_kappa_conditioned"
"beta2",-0.4,-0.397489976616546,0.00251002338345369,0.0100689127155687,1,78.9934558230453,0.199559053716249,NA,"S2","rep06","old_kappa_conditioned"
"r_mean",15,14.874808789522,-0.125191210478018,0.800432113270778,1,1206.44326556776,3.04780533944948,NA,"S2","rep06","old_kappa_conditioned"
"beta0",-1.48655364988887,-1.47724238170931,0.00931126817955286,0.0129335186312536,1,353.357270570423,0.894935608435825,NA,"S2","rep07","old_kappa_conditioned"
"beta1",0.5,0.500276148778815,0.000276148778814655,0.00943180698281438,1,60.7126461366554,0.15376479680847,NA,"S2","rep07","old_kappa_conditioned"
"beta2",-0.4,-0.390639315897448,0.00936068410255236,0.0134297299486496,1,47.1605621177872,0.119441907293785,NA,"S2","rep07","old_kappa_conditioned"
"r_mean",15,14.8008632985483,-0.199136701451655,0.890714630327474,1,849.453502496432,2.15138119520617,NA,"S2","rep07","old_kappa_conditioned"
"beta0",-1.5147890397372,-1.51168875767184,0.00310028206535695,0.00984253638995521,1,509.099575420736,1.27334104213639,NA,"S2","rep08","old_kappa_conditioned"
"beta1",0.5,0.515287809754356,0.0152878097543561,0.0184173528179691,1,51.0595731532061,0.127708317250532,NA,"S2","rep08","old_kappa_conditioned"
"beta2",-0.4,-0.395624811234126,0.00437518876587412,0.0107589478042202,1,67.8079009460364,0.169598615721396,NA,"S2","rep08","old_kappa_conditioned"
"r_mean",15,15.1249202613026,0.124920261302611,0.83476414860982,1,852.127091776706,2.13130878802813,NA,"S2","rep08","old_kappa_conditioned"
"beta0",-1.65564478525192,-1.65756149283635,-0.0019167075844313,0.00966905949641488,1,397.29631182972,0.994999441086408,NA,"S2","rep09","old_kappa_conditioned"
"beta1",0.5,0.488633400381797,-0.0113665996182034,0.0163580581882621,1,48.3531646342184,0.121096950445457,NA,"S2","rep09","old_kappa_conditioned"
"beta2",-0.4,-0.404496979986352,-0.00449697998635229,0.0098447748598957,1,115.129860491763,0.288334282072969,NA,"S2","rep09","old_kappa_conditioned"
"r_mean",15,14.7475427656247,-0.252457234375267,0.914262356198514,1,873.399070993696,2.18736384307685,NA,"S2","rep09","old_kappa_conditioned"
"beta0",-1.67500995209964,-1.6679752180876,0.00703473401203758,0.0117851516869614,1,420.102203408738,1.04999825894841,NA,"S2","rep10","old_kappa_conditioned"
"beta1",0.5,0.528409590093626,0.028409590093626,0.0306700003799773,0,69.0226368673142,0.172514326158377,NA,"S2","rep10","old_kappa_conditioned"
"beta2",-0.4,-0.39206544354057,0.00793455645943053,0.0134247591007107,1,87.253143647958,0.21807942965963,NA,"S2","rep10","old_kappa_conditioned"
"r_mean",15,15.0097881014344,0.00978810143440789,0.82709874367982,1,1067.31059436172,2.66762291828932,NA,"S2","rep10","old_kappa_conditioned"
"beta0",-1.46082883975833,-1.4710386725258,-0.0102098327674667,0.0136446155879158,1,334.988422127515,0.850785853932857,NA,"S2","rep11","old_kappa_conditioned"
"beta1",0.5,0.489840014488247,-0.010159985511753,0.0143688880704179,1,38.1069315787683,0.0967819667261879,NA,"S2","rep11","old_kappa_conditioned"
"beta2",-0.4,-0.399430220046423,0.00056977995357671,0.010413475613671,1,48.0466917204602,0.122026443136235,NA,"S2","rep11","old_kappa_conditioned"
"r_mean",15,16.4447655199775,1.4447655199775,1.70874929344419,1,1241.89509640934,3.15409939657989,NA,"S2","rep11","old_kappa_conditioned"
"beta0",-1.54000554509491,-1.5318504470009,0.00815509809401149,0.0124923758635976,1,327.654716146616,0.824610140171989,NA,"S2","rep12","old_kappa_conditioned"
"beta1",0.5,0.490954080973962,-0.00904591902603785,0.0144164111247836,1,70.7144985398444,0.177967505668498,NA,"S2","rep12","old_kappa_conditioned"
"beta2",-0.4,-0.409939820454066,-0.00993982045406611,0.0143193585260814,1,58.0124072436375,0.146000093731245,NA,"S2","rep12","old_kappa_conditioned"
"r_mean",15,15.4299109358286,0.429910935828577,0.91877811512072,1,1167.9063389299,2.93927528704271,NA,"S2","rep12","old_kappa_conditioned"
"beta0",-1.45678056652174,-1.4536268484164,0.00315371810533649,0.00990609295797749,1,400.771102968728,1.00408402787167,NA,"S2","rep13","old_kappa_conditioned"
"beta1",0.5,0.510734072219396,0.0107340722193957,0.0151828457763377,1,61.9246233928022,0.155144731793531,NA,"S2","rep13","old_kappa_conditioned"
"beta2",-0.4,-0.386976529476393,0.0130234705236066,0.0168437681173808,1,73.9163931378007,0.185188675525191,NA,"S2","rep13","old_kappa_conditioned"
"r_mean",15,15.474606840306,0.474606840306034,1.0029836634312,1,1058.88263263819,2.6529036922746,NA,"S2","rep13","old_kappa_conditioned"
"beta0",-1.59786012831472,-1.59449224409408,0.0033678842206406,0.00969142686219747,1,364.059286323299,0.91990611997593,NA,"S2","rep14","old_kappa_conditioned"
"beta1",0.5,0.513275449058324,0.0132754490583241,0.0160846403417742,1,71.81814825633,0.181470317028715,NA,"S2","rep14","old_kappa_conditioned"
"beta2",-0.4,-0.401039385711574,-0.00103938571157419,0.009138909178496,1,59.3281431304625,0.14991053381359,NA,"S2","rep14","old_kappa_conditioned"
"r_mean",15,16.6468716738677,1.64687167386773,1.88519774567661,1,1217.14545583425,3.0754868665224,NA,"S2","rep14","old_kappa_conditioned"
"beta0",-1.47860563894211,-1.47102386907144,0.00758176987067194,0.0115305242367024,1,293.014433449912,0.74220704137388,NA,"S2","rep15","old_kappa_conditioned"
"beta1",0.5,0.509005916159278,0.00900591615927848,0.0133278392589516,1,63.2588152406681,0.16023489883347,NA,"S2","rep15","old_kappa_conditioned"
"beta2",-0.4,-0.40328244399293,-0.00328244399293021,0.00972340222323708,1,44.4828806945095,0.112675361699214,NA,"S2","rep15","old_kappa_conditioned"
"r_mean",15,16.3637868185638,1.36378681856385,1.63467722059888,1,1243.45390880912,3.14967503776487,NA,"S2","rep15","old_kappa_conditioned"
"beta0",-1.42601383331857,-1.41452192553603,0.0114919077825357,0.0146184528638083,1,352.886693044127,0.897199972145125,NA,"S2","rep16","old_kappa_conditioned"
"beta1",0.5,0.509270094484638,0.00927009448463778,0.0129887109488594,1,76.6758172947023,0.194945126855235,NA,"S2","rep16","old_kappa_conditioned"
"beta2",-0.4,-0.396134877545416,0.00386512245458442,0.0105735200887873,1,91.1850452249106,0.231834244952987,NA,"S2","rep16","old_kappa_conditioned"
"r_mean",15,16.280323042544,1.28032304254405,1.60482361070094,1,963.298475871786,2.44914694363818,NA,"S2","rep16","old_kappa_conditioned"
"beta0",-1.73274692242974,-1.74320546728446,-0.0104585448547201,0.0138001953049978,1,399.767604256766,1.00324387792642,NA,"S2","rep17","old_kappa_conditioned"
"beta1",0.5,0.508373801064062,0.00837380106406183,0.0133283078974456,1,81.0528150718239,0.20340752888341,NA,"S2","rep17","old_kappa_conditioned"
"beta2",-0.4,-0.397262167355925,0.00273783264407496,0.00943798145128392,1,88.93200768065,0.223180896369012,NA,"S2","rep17","old_kappa_conditioned"
"r_mean",15,14.6974483381218,-0.302551661878214,0.850484657596097,1,1029.2323911089,2.58292839226754,NA,"S2","rep17","old_kappa_conditioned"
"beta0",-1.46984395968342,-1.48685635598794,-0.0170123963045203,0.0194380154049508,1,288.202118077942,0.730661489904525,NA,"S2","rep18","old_kappa_conditioned"
"beta1",0.5,0.504573168076402,0.00457316807640173,0.0111113967343204,1,51.8533034976386,0.13146056053554,NA,"S2","rep18","old_kappa_conditioned"
"beta2",-0.4,-0.394463440363509,0.0055365596364913,0.0106905450166909,1,72.4850607919362,0.183767013467031,NA,"S2","rep18","old_kappa_conditioned"
