"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta2",-0.4,-0.415172921956613,-0.0151729219566132,0.0177364677781854,1,1988.94293414627,8.82715296906277,NA,"S2","rep02","revised_kappa_collapsed"
"r_mean",15,16.6352872117709,1.63528721177094,1.87353776343804,1,2864.20650361034,12.7116713648726,NA,"S2","rep02","revised_kappa_collapsed"
"beta0",-1.40397869793906,-1.40096390292822,0.00301479501084212,0.0097859768811519,1,4000,17.4075766477246,NA,"S2","rep03","revised_kappa_collapsed"
"beta1",0.5,0.499801743648804,-0.000198256351196469,0.0102933350841583,1,1496.83541714691,6.51406931325343,NA,"S2","rep03","revised_kappa_collapsed"
"beta2",-0.4,-0.409801265100635,-0.0098012651006345,0.0140451924805348,1,1832.41596110579,7.97448032336574,NA,"S2","rep03","revised_kappa_collapsed"
"r_mean",15,14.9084867746918,-0.091513225308228,0.806606738283484,1,2678.0679354786,11.6546682136644,NA,"S2","rep03","revised_kappa_collapsed"
"beta0",-1.59011227919885,-1.59464647062796,-0.00453419142911038,0.0104139825146556,1,3788.01995424585,16.6586919136789,NA,"S2","rep04","revised_kappa_collapsed"
"beta1",0.5,0.505594215920471,0.00559421592047094,0.0115903479162935,1,1435.82463519562,6.31437017985722,NA,"S2","rep04","revised_kappa_collapsed"
"beta2",-0.4,-0.412178442536471,-0.0121784425364709,0.0158285266585096,1,1901.14507650198,8.36072420293232,NA,"S2","rep04","revised_kappa_collapsed"
"r_mean",15,15.4485502092706,0.448550209270563,1.00662171374552,1,2639.18201832085,11.6064119720513,NA,"S2","rep04","revised_kappa_collapsed"
"beta0",-1.53963015075169,-1.52829122626913,0.011338924482559,0.0145969600241601,1,3323.29971904481,14.6546769869639,NA,"S2","rep05","revised_kappa_collapsed"
"beta1",0.5,0.48886659626629,-0.0111334037337101,0.0149975848451863,1,1417.31234371353,6.24988906890661,NA,"S2","rep05","revised_kappa_collapsed"
"beta2",-0.4,-0.398442285864398,0.00155771413560218,0.0097567142050401,1,1648.10390900091,7.26760523251956,NA,"S2","rep05","revised_kappa_collapsed"
"r_mean",15,15.525636103308,0.525636103308051,1.01019648343233,1,2553.48948116462,11.26006279892,NA,"S2","rep05","revised_kappa_collapsed"
"beta0",-1.44814607902023,-1.4594072884688,-0.0112612094485725,0.0144912115757712,1,3584.31429331054,15.7758923482294,NA,"S2","rep06","revised_kappa_collapsed"
"beta1",0.5,0.50408238494449,0.00408238494448987,0.0113043100724541,1,1675.39462717609,7.37403115805452,NA,"S2","rep06","revised_kappa_collapsed"
"beta2",-0.4,-0.40025811565641,-0.000258115656409819,0.00977114031919749,1,2014.78255084411,8.86780288395152,NA,"S2","rep06","revised_kappa_collapsed"
"r_mean",15,14.9035856738695,-0.0964143261304944,0.806103878841416,1,2582.47073742262,11.36640847095,NA,"S2","rep06","revised_kappa_collapsed"
"beta0",-1.48655364988887,-1.47699913336532,0.00955451652355022,0.0136990516958565,1,3739.98686312092,16.7143527774409,NA,"S2","rep07","revised_kappa_collapsed"
"beta1",0.5,0.498963042932148,-0.0010369570678519,0.0110399273028484,1,1523.53659687671,6.80882823430277,NA,"S2","rep07","revised_kappa_collapsed"
