"file","readable","ncol","columns"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/scenario3_confounding_diagnostics_from_performance.csv",TRUE,11,"scenario_id | rep_id | x2_mode | sd_x1 | sd_x2 | cor_x1_x2 | cor_x2_loglambda | cor_x1_loglambda | cor_x2_phi | cor_x1_phi | sd_beta2_x2"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/scenario3_extra_mcmc_diagnostics.csv",TRUE,13,"scenario_id | rep_id | n_stored | phi_accept_rate | r_accept_rate_mean | gamma_accept_rate | beta_mean_n_reject | elapsed_sec | loglik_nb_mean | gamma_mean | gamma_sd | gamma_acf1 | gamma_ess"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/scenario3_parameter_mcmc_diagnostics.csv",TRUE,8,"scenario_id | rep_id | parameter | n_draws | mean | sd | acf1 | ess"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/posterior_beta_summary.csv",TRUE,15,"scenario_id | rep_id | parameter | truth | post_mean | post_sd | q025 | q50 | q975 | bias | covered | covered_95 | fit_status | nonfailed | stable_fit"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/posterior_lambda_path_recovery.csv",TRUE,20,"scenario_id | rep_id | mean_count | zero_prop | exposure_mean_ratio | exposure_cv | lambda_rmse | lambda_mae | lambda_coverage_95 | log_lambda_rmse | log_lambda_mae | log_lambda_coverage_95 | cor_lambda | cor_log_lambda | rmse_delta_log_lambda | mae_delta_log_lambda | cor_delta_log_lambda | fit_status | nonfailed | stable_fit"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/posterior_latent_risk_performance.csv",TRUE,20,"scenario_id | rep_id | mean_count | zero_prop | exposure_mean_ratio | exposure_cv | lambda_rmse | lambda_mae | lambda_coverage_95 | log_lambda_rmse | log_lambda_mae | log_lambda_coverage_95 | cor_lambda | cor_log_lambda | rmse_delta_log_lambda | mae_delta_log_lambda | cor_delta_log_lambda | fit_status | nonfailed | stable_fit"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/posterior_performance_diagnostics.csv",TRUE,150,"scenario_id | rep_id | TT | n1 | mean_count | zero_prop | dynamic_lambda_in_truth | lambda_sampled_in_fit | gamma_fixed_in_fit | gamma_learned_in_fit | gamma_truth_mean | gamma_mean | gamma_sd | gamma_q025 | gamma_q50 | gamma_q975 | gamma_bias | gamma_covered | gamma_accept_rate | gamma_proposal_sd_final | lambda_truth_min | lambda_truth_max | beta0_true | beta0_mean | beta0_sd | beta0_q025 | beta0_q50 | beta0_q975 | beta0_bias | beta0_covered | beta1_true | beta1_mean | beta1_sd | beta1_q025 | beta1_q50 | beta1_q975 | beta1_bias | beta1_covered | beta2_true | beta2_mean | beta2_sd | beta2_q025 | beta2_q50 | beta2_q975 | beta2_bias | beta2_covered | phi_rmse | phi_cor | phi_mean_bias | r_true_mean | r_mean | r_bias | r_q025_mean | r_q50_mean | r_q975_mean | tau_phi_mean | loglik_mean | loglik_nb_mean | phi_accept_rate | r_accept_rate_mean | beta_mean_n_reject | elapsed_sec | lambda_rmse | lambda_mae | lambda_coverage_95 | log_lambda_rmse | log_lambda_mae | log_lambda_coverage_95 | cor_lambda | cor_log_lambda | rmse_delta_log_lambda | mae_delta_log_lambda | cor_delta_log_lambda | lambda_truth_min.1 | lambda_truth_max.1 | lambda_post_mean_min | lambda_post_mean_max | stress_type | exposure_stress_type | target_mean_exposure_multiplier | realized_mean_exposure_multiplier | realized_min_exposure_multiplier | realized_max_exposure_multiplier | reference_mean_count | reference_zero_prop | observed_mean_count | observed_zero_prop | observed_total_count | observed_max_count | reference_mean_exposure | mean_exposure | exposure_mean_ratio | exposure_cv | multiplier_cv | area_multiplier_cv | lowest_exposure_group_mean_count | lowest_exposure_group_zero_prop | highest_exposure_group_mean_count | highest_exposure_group_zero_prop | count_exposure_cor_area | x2_mode | x2_ar | x2_innov_sd | count_low_exposure_n_areas | count_low_exposure_mean_exposure | count_low_exposure_mean_multiplier | count_low_exposure_mean_count | count_low_exposure_zero_prop | count_low_exposure_total_count | count_middle_exposure_n_areas | count_middle_exposure_mean_exposure | count_middle_exposure_mean_multiplier | count_middle_exposure_mean_count | count_middle_exposure_zero_prop | count_middle_exposure_total_count | count_high_exposure_n_areas | count_high_exposure_mean_exposure | count_high_exposure_mean_multiplier | count_high_exposure_mean_count | count_high_exposure_zero_prop | count_high_exposure_total_count | lambda_low_exposure_lambda_rmse | lambda_low_exposure_log_lambda_rmse | lambda_low_exposure_cor_log_lambda | lambda_middle_exposure_lambda_rmse | lambda_middle_exposure_log_lambda_rmse | lambda_middle_exposure_cor_log_lambda | lambda_high_exposure_lambda_rmse | lambda_high_exposure_log_lambda_rmse | lambda_high_exposure_cor_log_lambda | phi_low_exposure_phi_rmse | phi_low_exposure_phi_mae | phi_low_exposure_phi_cor | phi_middle_exposure_phi_rmse | phi_middle_exposure_phi_mae | phi_middle_exposure_phi_cor | phi_high_exposure_phi_rmse | phi_high_exposure_phi_mae | phi_high_exposure_phi_cor | s4b_beta_guard_count | s4b_kappa_guard_count | s4b_lambda_input_guard_count | s4b_lambda_output_guard_count | target_mean_multiplier | realized_mean_multiplier | total_count | max_count | fit_status | nonfailed | stable_fit"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_beta_recovery_by_subset.csv",TRUE,12,"subset | parameter | n_reps | mean_truth | mean_post_mean | sd_post_mean_across_reps | mean_bias | median_bias | rmse_bias | mean_abs_bias | coverage | mean_post_sd"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_comparison_to_s3_s4a_summary.csv",TRUE,13,"scenario | subset | n_reps | mean_count_avg | zero_prop_avg | beta1_mean_avg | beta2_mean_avg | beta2_mean_sd | lambda_rmse_avg | log_lambda_rmse_avg | cor_log_lambda_avg | numerical_instability_rate | conclusion"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_diagnostic_ladder_summary.csv",TRUE,17,"diagnostic_step | n_reps | n_stable | n_soft_warning | n_numerical_instability | beta1_mean_avg | beta2_mean_avg | beta2_mean_sd | lambda_rmse_avg | log_lambda_rmse_avg | cor_log_lambda_avg | low_exp_log_lambda_rmse_avg | high_exp_log_lambda_rmse_avg | beta_guard_total | kappa_guard_total | lambda_output_guard_total | conclusion"
