"scenario","rep","status","finite_status","lambda_mode","gamma_mode","gamma_fixed","n_iter","n_burnin","n_thin","n_stored","beta_dim","beta0_mean","beta1_mean","beta2_mean","loglik_last","lambda_max","kappa_max","r_accept_mean","gamma_accept_mean","delta_accept_rate","elapsed_sec","fit_file","error","baseline_analysis_status"
"S3","rep15","nonfinite_output","omega_nonfinite_24","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.47096622797935,0.509614091743113,-0.402484858522406,-3608.55089347233,1.79141435432475,2.65759806266021,0.322488888888889,0.779688888888889,0.8763,454.300092220306,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep15_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep16","nonfinite_output","omega_nonfinite_15","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.41404727750363,0.509892386834267,-0.395697783613158,-3469.18231145473,1.87322979150236,2.6219436154525,0.322133333333333,0.7981,0.89515,453.236015081406,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep16_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep17","ok","ok","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.7429059829771,0.510854731416476,-0.396778926441018,-3441.80686634798,1.79133862426941,2.67027923186459,0.322638888888889,0.774038888888889,0.8591,455.150280952454,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep17_full_fit.rds","","analysis_ok"
"S3","rep18","nonfinite_output","omega_nonfinite_75","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.4862070844175,0.502633867769188,-0.395602211144766,-3617.69508383357,1.76226679232292,2.9278811281592,0.320955555555556,0.792033333333333,0.90355,451.970878124237,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep18_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep19","nonfinite_output","omega_nonfinite_3","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.65396037895917,0.506664864499466,-0.412132851609312,-3267.80679755306,1.88281346716623,2.54011697140661,0.321333333333333,0.800127777777778,0.86725,454.000653982162,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep19_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep20","nonfinite_output","omega_nonfinite_3","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.4041989206562,0.516050943632874,-0.411299086261409,-3389.56919229112,2.14615561134483,3.06370119936697,0.32075,0.800605555555556,0.88775,454.325212001801,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep20_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep01","failed","not_available","dynamic","fixed",0.8,20000,10000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0499451160430908,NA,"Current ESS log-likelihood is non-finite. cur_log_lik = -Inf","analysis_failed"
"S4A","rep02","nonfinite_output","omega_nonfinite_17253","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.71086555591832,0.454558061491353,-0.368572326113498,-1575.50354227451,4.89674617426259,4.78928089463296,0.323277777777778,NA,0.895,389.763328075409,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep02_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep03","nonfinite_output","omega_nonfinite_5340","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.76750863766339,0.443367474640038,-0.362078941398565,-1564.10351526741,4.46279575029577,5.00547736429687,0.323438888888889,NA,0.8932,388.113382816315,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep03_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep04","nonfinite_output","omega_nonfinite_129657","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-6.38389465566333,0.472903970197141,-0.3485108861899,-1293.80125542622,186.715306747454,11.7978509013176,0.322022222222222,NA,0.9079,391.532899141312,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep04_full_fit.rds","","analysis_ok_with_omega_warning"
